ISO,COD-UID,contributor,error,resource name,pcode headers,name headers,total pop header,duplicates,blanks
ABW,cod-ps-abw,OCHA Latin America and the Caribbean (ROLAC),,abw_admpop_adm0_2010.csv,ADM0_PCODE,ADM0_EN,T_TL,,
ABW,cod-ps-abw,OCHA Latin America and the Caribbean (ROLAC),,abw_admpop_adm1_2010.csv,"ADM1_PCODE, ADM0_PCODE","ADM1_EN, ADM0_EN",T_TL,,
ABW,cod-ps-abw,OCHA Latin America and the Caribbean (ROLAC),,abw_admpop_adm2_2010.csv,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM2_EN, ADM1_EN, ADM0_EN",T_TL,,
AFG,cod-ps-afg,OCHA Afghanistan,,afg_admpop_adm1_2021_v2.csv,"Admin0_Code, Admin1_Code","Admin0_Name, Admin1_Name",T_TL,,
AFG,cod-ps-afg,OCHA Afghanistan,,afg_popadm_adm0_2021_v2.csv,Admin0_Code,Admin0_Name,T_TL,,
AGO,cod-ps-ago,UNFPA,,ago_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_PT,T_TL,,
AGO,cod-ps-ago,UNFPA,,ago_admpop_adm1_2022_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM1_PT, ADM0_NAME",T_TL,,ADM0_PCODE
AGO,cod-ps-ago,UNFPA,,ago_admpop_adm2_2022_v2.csv,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM2_NAME, ADM1_NAME, ADM0_NAME",T_TL,,ADM0_PCODE
AIA,cod-ps-aia,OCHA Latin America and the Caribbean (ROLAC),,aia_admpop_adm1_2011.csv,"ADM1_PCODE, ADM0_PCODE","ADM1_EN, ADM0_EN",T_TL,,
AIA,cod-ps-aia,OCHA Latin America and the Caribbean (ROLAC),,aia_admpop_adm0_2011.csv,ADM0_PCODE,ADM0_EN,T_TL,,
ALB,cod-ps-alb,UNFPA,,alb_admpop_adm0_2021.csv,ADM0_PCODE,ADM0_EN,T_TL,,
ALB,cod-ps-alb,UNFPA,,alb_admpop_adm1_2021.csv,"ADM1_PCODE, ADM0_PCODE","ADM1_EN, ADM0_EN",T_TL,,
ARG,cod-ps-arg,UNFPA,,arg_admpop_adm0_2021.csv,ADM0_PCODE,ADM0_EN,T_TL,,
ARG,cod-ps-arg,UNFPA,,arg_admpop_adm1_2021.csv,"ADM1_PCODE, ADM0_PCODE","ADM1_EN, ADM0_EN",T_TL,,
ARM,cod-ps-arm,UNFPA,,arm_admpop_adm0_2021.csv,ADM0_PCODE,ADM0_NAME,T_TL,,
ARM,cod-ps-arm,UNFPA,,arm_admpop_adm1_2021.csv,"ADM1_PCODE, ADM0_PCODE","ADM1_EN, ADM0_NAME",T_TL,,
ATG,cod-ps-atg,UNFPA,,atg_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_EN,T_TL,,
AZE,cod-ps-aze,OCHA ROCCA (Closed),,aze_admpop_adm0_2018.csv,Country ISO-2 code,"ADM0Name_EN, ADM0Name_AZ",T_TL,,
AZE,cod-ps-aze,OCHA ROCCA (Closed),,aze_admpop_adm1_2018.csv,"ADM1_PCODE, Country ISO-2 code","ADM1Type_AZ, ADM1_EN, ADM1_AZ, ADM1Type_EN",T_TL,,
AZE,cod-ps-aze,OCHA ROCCA (Closed),,aze_admpop_adm2_2018.csv,"ADM1_PCODE, ADM2_PCODE, Country ISO-2 code","ADM2_EN, ADM2Type_EN, ADM1_AZ, ADM0_EN, ADM2Type_AZ, ADM1_EN, ADM0_AZ, ADM2_AZ",T_TL,,
BDI,cod-ps-bdi,UNFPA,,bdi_admpop_2022_adm0_v3.csv,ADM0_PCODE,ADM0_NAME,T_TL,,
BDI,cod-ps-bdi,UNFPA,,bdi_admpop_2022_adm1_v3.csv,"ADM1_PCODE, ADM0_PCODE","ADM1_NAME, ADM0_NAME",T_TL,,
BDI,cod-ps-bdi,UNFPA,,bdi_admpop_2022_adm2_v3.csv,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM2_NAME, ADM1_NAME, ADM0_NAME",T_TL,,
BEN,cod-ps-ben,OCHA West and Central Africa (ROWCA),,ben_adm0_pop_v2.csv,ADM0_PCODE,"ADM0_FR, ADM0_EN",T_TL,,
BEN,cod-ps-ben,OCHA West and Central Africa (ROWCA),,ben_adm1_pop_v2.csv,ADM0_PCODE,"ADM0_FR, ADM0_EN",T_TL,,
BEN,cod-ps-ben,OCHA West and Central Africa (ROWCA),,ben_adm2_pop_v2.csv,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM0_FR, ADM1_FR, ADM2_FR, ADM0_EN",T_TL,,
BFA,cod-ps-bfa,OCHA Burkina Faso,,bfa_adm0_pop_v2.csv,ADM0_PCODE,"ADM0_FR, ADM0_EN",T_TL,,
BFA,cod-ps-bfa,OCHA Burkina Faso,,bfa_adm1_pop_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_FR, ADM1_FR, ADM0_EN",T_TL,,
BFA,cod-ps-bfa,OCHA Burkina Faso,,bfa_adm2_pop_v2.csv,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM0_FR, ADM1_FR, ADM2_FR, ADM0_EN",T_TL,,
BFA,cod-ps-bfa,OCHA Burkina Faso,,bfa_adm3_pop_v2.csv,"ADM1_PCODE, ADM3_PCODE, ADM2_PCODE, ADM0_PCODE","ADM0_EN, ADM1_FR, ADM0_FR, ADM3_FR, ADM2_FR",T_TL,,
BGD,cod-ps-bgd,OCHA Regional Office for Asia and the Pacific (ROAP),,bgd_admpop_adm0_bd_v2.csv,admin0Pcode,admin0Name_en,T_TL,,
BGD,cod-ps-bgd,OCHA Regional Office for Asia and the Pacific (ROAP),,bgd_admpop_adm1_bd_v2.csv,"admin1Pcode, admin0Pcode","admin1Name_en, admin0Name_en",T_TL,,
BGD,cod-ps-bgd,OCHA Regional Office for Asia and the Pacific (ROAP),,bgd_admpop_adm2_bd_v2.csv,"admin1Pcode, admin2Pcode, admin0Pcode","admin0Name_en, admin1Name_en, admin2Name_en, admin2RefName",T_TL,,
BGD,cod-ps-bgd,OCHA Regional Office for Asia and the Pacific (ROAP),,bgd_admpop_adm3_bd_v2.csv,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE, admin3Pcode","admin3RefName, admin1Name_en, admin0Name_en, admin3Name_en, admin2Name_en",T_TL,,
BHS,cod-ps-bhs,UNFPA,,bhs_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_EN,T_TL,,
BLM,cod-ps-blm,OCHA Latin America and the Caribbean (ROLAC),,blm_admpop_adm0_2016_insee_v2.csv,ADM0_PCODE,ADM0_FR,T_TL,,
BLM,cod-ps-blm,OCHA Latin America and the Caribbean (ROLAC),,blm_admpop_adm1_2016_insee_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_FR, ADM1_FR",T_TL,,"F_20_24, F_25_29, F_30_34, F_35_39, F_40_44, F_45_49, F_50_54, F_55_59, F_60_64, F_65plus, M_00_04, M_05_09, M_10_14, M_15_19, M_20_24, M_25_29, M_30_34, M_35_39, M_40_44, M_45_49, M_50_54, M_55_59, M_60_64, M_65plus"
BLZ,cod-ps-blz,OCHA Latin America and the Caribbean (ROLAC),,blz_adm0_pop_v2.csv,ADM0_PCODE,ADM0_ES,T_TL,,
BLZ,cod-ps-blz,OCHA Latin America and the Caribbean (ROLAC),,blz_adm1_pop_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM1_ES, ADM0_ES",T_TL,,
BLZ,cod-ps-blz,OCHA Latin America and the Caribbean (ROLAC),,blz_adm2_pop_v2.csv,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM1_ES, ADM2_ES, ADM0_ES",T_TL,,
BMU,cod-ps-bmu,OCHA West and Central Africa (ROWCA),,blz_adm1_pop_v2.csv,"ADM1_PCODE, ADM0_PCODE","ADM1_ES, ADM0_ES",T_TL,,
BMU,cod-ps-bmu,OCHA West and Central Africa (ROWCA),,blz_adm2_pop_v2.csv,"ADM1_PCODE, ADM2_PCODE, ADM0_PCODE","ADM1_ES, ADM2_ES, ADM0_ES",T_TL,,
BMU,cod-ps-bmu,OCHA West and Central Africa (ROWCA),,blz_adm0_pop_v2.csv,ADM0_PCODE,ADM0_ES,T_TL,,
BOL,cod-ps-bol,UNFPA,,bol_admpop_adm0_2022.csv,ADM0_PCODE,ADM0_EN,T_TL,,
BOL,cod-ps-bol,UNFPA,,bol_admpop_adm1_2022.csv,"ADM1_PCODE, ADM0_PCODE","ADM0_EN, ADM1_ES",T_TL,,
